9	10
39	39
39	39
62	63
90	91
67	68
27	28
38	40
72	73
4	10
72	73
114	115
66	67
2	3
44	44
68	72
50	50
80	81
21	22
52	56
57	58
44	44
54	54
52	56
26	33
78	78
107	108
35	39
89	90
78	78
8	8
99	99
49	50
49	50
4	5
13	18
13	18
5	5
29	30
42	42
42	42
42	43
60	60
33	34
81	81
71	73
39	41
42	43
50	50
37	38
39	40
60	61
60	61
47	48
70	71
116	117
10	10
107	108
10	10
107	108
46	56
2	4
142	144
29	32
41	43
99	101
99	99
84	84
99	99
83	85
23	24
71	73
71	73
68	70
99	99
31	31
19	20
64	65
59	60
64	65
46	47
31	31
111	112
78	79
41	42
36	37
95	96
78	82
78	79
124	128
30	31
36	38
63	64
28	28
41	43
76	79
88	89
64	64
33	34
33	34
60	61
68	71
31	32
60	60
20	21
16	21
56	56
51	54
51	54
26	27
53	54
6	7
24	24
45	49
55	56
58	59
66	67
91	98
6	7
21	22
30	31
42	43
65	70
21	22
27	28
41	42
33	33
19	21
97	98
60	61
15	16
32	35
50	54
50	54
60	60
9	9
60	61
9	9
9	9
60	60
7	8
5	5
12	12
5	6
37	38
5	5
40	41
77	78
12	12
89	90
45	45
14	15
34	35
49	51
3	3
14	15
3	6
6	8
26	28
6	8
26	28
49	51
50	51
66	67
48	49
48	49
15	20
35	37
267	271
236	236
35	37
236	236
267	271
14	14
31	31
31	31
4	5
4	5
45	45
6	15
45	45
6	15
77	78
77	78
7	7
7	7
58	58
105	105
105	105
59	61
59	61
48	49
64	67
48	49
64	67
19	20
19	20
31	32
31	32
23	24
55	55
83	83
5	5
29	31
14	15
55	55
33	37
68	69
83	83
23	23
15	15
6	6
8	9
92	93
8	9
7	7
68	68
17	18
68	68
17	18
41	43
7	7
7	7
68	68
54	55
17	17
22	22
47	47
21	22
66	68
21	22
36	37
0	1
51	52
36	37
6	7
15	15
8	9
40	40
32	35
20	20
40	40
68	69
11	12
100	100
100	100
105	105
41	43
105	105
102	103
89	89
16	17
91	93
89	89
97	97
137	139
23	24
121	124
58	59
121	124
18	19
82	83
141	141
3	4
77	78
111	112
141	141
43	43
2	3
85	85
85	85
19	20
54	55
29	29
74	75
55	55
54	55
1	2
29	29
68	68
3	6
178	179
92	93
116	118
25	25
23	23
116	118
73	75
73	76
38	39
46	47
52	54
9	10
38	39
80	80
4	5
76	77
90	92
4	5
63	65
75	76
61	61
1	1
12	16
77	79
103	105
12	16
30	31
148	148
9	9
92	92
13	14
102	102
96	97
44	47
50	58
30	31
39	43
50	58
33	33
44	47
50	58
7	7
32	33
85	86
85	86
45	51
7	7
85	86
32	33
7	12
26	27
56	56
14	15
26	27
56	56
7	12
61	61
74	84
41	43
61	61
31	38
17	18
30	31
17	18
87	88
65	67
87	88
95	96
33	34
6	8
72	72
40	41
51	51
51	51
75	76
15	15
0	1
42	42
93	94
0	1
18	21
70	70
69	69
81	81
58	59
26	27
59	59
26	39
66	69
21	22
6	6
21	22
61	63
24	25
4	4
37	37
82	83
56	56
41	42
91	91
80	81
41	42
91	91
95	96
108	109
66	67
45	45
31	35
0	0
43	43
0	1
37	38
68	69
63	63
3	3
68	71
27	31
36	37
10	11
19	20
32	33
60	61
79	79
10	11
19	20
55	56
82	83
5	6
51	51
81	81
91	91
76	76
51	51
81	81
10	10
71	71
102	102
126	126
4	5
102	102
36	37
37	38
71	71
93	93
79	79
7	8
71	72
79	80
80	80
90	91
32	32
90	92
62	62
19	19
19	19
128	128
106	106
4	5
106	106
33	33
115	115
74	74
7	8
95	95
107	109
7	8
37	37
13	14
73	73
108	109
33	34
5	5
11	11
18	18
117	117
137	137
5	5
11	11
18	19
29	30
32	32
40	40
119	123
103	114
119	123
32	32
103	103
14	14
19	19
24	24
117	118
105	107
14	15
40	41
117	118
32	32
50	50
54	55
4	4
29	29
17	18
74	74
68	68
55	56
18	19
68	68
52	52
74	74
80	80
80	81
87	87
102	103
124	126
82	83
48	48
73	74
24	24
29	29
60	60
34	34
41	41
29	30
68	68
77	79
50	50
62	62
50	50
18	19
25	26
39	40
44	45
24	26
64	64
7	8
143	143
120	122
90	93
58	60
90	93
54	54
62	62
71	71
4	4
4	4
1	1
30	30
49	49
85	85
23	25
59	60
30	30
52	53
4	5
4	5
14	14
84	84
50	50
67	68
60	60
50	50
60	60
92	92
3	4
42	43
19	20
5	5
63	63
8	11
25	25
40	40
34	34
28	28
20	21
30	31
38	40
14	14
22	23
92	92
2	2
9	9
13	13
36	36
55	55
36	36
13	13
9	9
13	13
130	132
162	164
154	156
47	48
130	132
140	140
27	28
44	44
66	66
26	27
44	44
35	35
9	9
48	48
131	132
135	136
47	48
59	60
112	112
142	152
5	6
11	12
116	117
32	33
73	73
73	73
40	48
12	13
58	58
13	14
38	39
13	13
110	111
90	90
12	12
129	129
12	12
37	37
95	96
160	161
7	7
24	25
7	7
30	32
20	20
66	66
135	135
52	53
69	70
107	107
145	146
7	8
24	26
72	74
24	26
43	43
47	48
64	64
21	21
19	19
4	7
134	135
183	184
71	72
45	46
49	51
71	72
81	82
164	165
93	95
117	118
113	114
138	143
50	51
8	9
54	55
121	122
73	73
63	64
18	18
27	27
18	19
27	27
8	9
28	29
56	57
47	47
120	121
26	26
52	52
56	57
90	90
27	29
39	40
84	84
16	18
31	31
3	4
21	21
3	4
30	31
148	148
22	24
164	167
22	23
142	143
72	73
6	7
72	73
2	3
29	30
24	24
2	3
29	30
17	18
17	18
29	30
36	41
49	49
6	6
49	49
36	41
23	23
114	115
83	84
23	23
83	84
39	39
30	30
48	49
30	30
48	49
6	9
54	55
9	11
90	92
102	103
46	47
60	60
96	98
57	57
102	103
60	61
13	14
18	19
61	61
5	8
36	38
36	38
34	35
10	10
35	38
55	56
22	23
33	34
58	59
16	16
92	93
8	9
16	16
14	15
92	94
161	162
115	115
14	15
92	94
14	15
182	184
214	214
38	38
22	22
29	29
44	45
136	136
136	136
72	72
25	26
16	17
197	198
224	225
302	303
16	17
32	33
46	49
259	263
16	17
197	198
224	225
302	303
22	23
43	44
43	44
75	77
63	66
22	23
43	44
68	69
32	34
39	44
68	69
42	43
12	13
42	43
12	13
16	17
26	26
82	82
16	17
29	31
20	21
165	166
156	162
136	139
25	26
47	49
29	31
20	21
89	90
156	162
136	139
11	12
27	28
37	37
56	56
48	49
27	27
27	27
51	51
93	93
11	12
27	28
37	37
56	56
48	49
28	30
20	21
57	59
28	30
29	30
5	6
49	50
66	68
5	6
49	50
60	61
5	6
49	50
66	68
31	32
18	18
31	32
31	32
11	11
57	58
75	75
11	11
57	58
14	14
121	121
96	96
121	121
26	26
96	96
69	70
9	11
0	1
9	11
69	70
9	11
26	27
36	37
4	5
36	37
4	5
101	102
105	106
7	7
46	47
92	93
101	102
105	106
7	7
56	57
21	22
34	35
61	62
3	5
34	35
65	66
21	22
34	35
61	62
60	63
78	79
46	47
41	43
52	52
60	63
78	79
85	86
52	53
61	62
87	88
85	86
54	54
54	55
54	54
54	55
85	85
46	46
69	69
69	69
30	30
74	74
107	108
30	30
74	74
107	108
36	38
25	30
13	13
47	49
26	30
13	13
77	78
39	39
84	86
39	39
84	86
26	27
91	92
26	27
91	92
28	28
70	70
76	79
75	75
28	28
70	70
76	79
75	75
2	2
2	2
6	9
64	64
87	89
6	9
64	64
87	89
76	77
76	77
16	17
99	100
16	17
78	79
78	79
39	39
44	44
46	48
39	39
44	44
46	48
18	19
25	26
24	24
18	19
25	26
24	24
82	83
82	83
85	85
98	99
85	85
98	99
20	25
52	52
49	50
20	25
52	52
49	50
14	16
14	16
16	16
38	38
45	46
30	31
16	16
74	74
45	46
30	31
125	134
125	134
61	61
61	61
9	10
9	10
15	16
39	39
15	16
39	39
22	25
111	113
22	25
111	113
14	17
19	19
38	38
33	33
62	64
47	51
104	104
49	50
104	104
10	13
22	24
25	25
34	34
10	13
18	18
25	25
66	66
34	34
52	55
69	71
80	81
89	92
2	2
2	2
98	99
39	39
92	97
228	228
